name,shape
RibFrac233-label.nii.gz,393
RibFrac247-label.nii.gz,361
RibFrac212-label.nii.gz,337
RibFrac64-label.nii.gz,325
RibFrac276-label.nii.gz,309
RibFrac194-label.nii.gz,419
RibFrac286-label.nii.gz,391
RibFrac407-label.nii.gz,353
RibFrac327-label.nii.gz,321
RibFrac235-label.nii.gz,341
RibFrac188-label.nii.gz,325
RibFrac347-label.nii.gz,333
RibFrac156-label.nii.gz,309
RibFrac122-label.nii.gz,345
RibFrac115-label.nii.gz,325
RibFrac18-label.nii.gz,309
RibFrac330-label.nii.gz,367
RibFrac50-label.nii.gz,392
RibFrac290-label.nii.gz,325
RibFrac31-label.nii.gz,442
RibFrac360-label.nii.gz,337
RibFrac148-label.nii.gz,281
RibFrac417-label.nii.gz,410
RibFrac66-label.nii.gz,361
RibFrac263-label.nii.gz,363
RibFrac149-label.nii.gz,321
RibFrac65-label.nii.gz,457
RibFrac105-label.nii.gz,348
RibFrac323-label.nii.gz,440
RibFrac119-label.nii.gz,279
RibFrac246-label.nii.gz,361
RibFrac121-label.nii.gz,313
RibFrac180-label.nii.gz,345
RibFrac257-label.nii.gz,423
RibFrac377-label.nii.gz,337
RibFrac91-label.nii.gz,329
RibFrac371-label.nii.gz,357
RibFrac12-label.nii.gz,403
RibFrac11-label.nii.gz,333
RibFrac399-label.nii.gz,333
RibFrac283-label.nii.gz,439
RibFrac75-label.nii.gz,418
RibFrac170-label.nii.gz,309
RibFrac218-label.nii.gz,408
RibFrac328-label.nii.gz,357
RibFrac350-label.nii.gz,333
RibFrac224-label.nii.gz,417
RibFrac3-label.nii.gz,337
RibFrac177-label.nii.gz,405
RibFrac390-label.nii.gz,337
RibFrac96-label.nii.gz,424
RibFrac26-label.nii.gz,341
RibFrac76-label.nii.gz,383
RibFrac185-label.nii.gz,396
RibFrac406-label.nii.gz,436
RibFrac349-label.nii.gz,417
RibFrac69-label.nii.gz,321
RibFrac83-label.nii.gz,341
RibFrac239-label.nii.gz,321
RibFrac135-label.nii.gz,399
RibFrac243-label.nii.gz,321
RibFrac413-label.nii.gz,384
RibFrac341-label.nii.gz,321
RibFrac383-label.nii.gz,301
RibFrac211-label.nii.gz,430
RibFrac299-label.nii.gz,422
RibFrac216-label.nii.gz,309
RibFrac281-label.nii.gz,309
RibFrac238-label.nii.gz,399
RibFrac182-label.nii.gz,325
RibFrac195-label.nii.gz,348
RibFrac44-label.nii.gz,309
RibFrac273-label.nii.gz,400
RibFrac221-label.nii.gz,239
RibFrac237-label.nii.gz,424
RibFrac190-label.nii.gz,381
RibFrac9-label.nii.gz,357
RibFrac30-label.nii.gz,376
RibFrac139-label.nii.gz,383
RibFrac120-label.nii.gz,265
RibFrac49-label.nii.gz,460
RibFrac389-label.nii.gz,313
RibFrac8-label.nii.gz,240
RibFrac398-label.nii.gz,422
RibFrac354-label.nii.gz,354
RibFrac220-label.nii.gz,439
RibFrac21-label.nii.gz,381
RibFrac46-label.nii.gz,419
RibFrac201-label.nii.gz,321
RibFrac384-label.nii.gz,325
RibFrac232-label.nii.gz,426
RibFrac68-label.nii.gz,415
RibFrac127-label.nii.gz,466
RibFrac202-label.nii.gz,345
RibFrac358-label.nii.gz,387
RibFrac205-label.nii.gz,413
RibFrac288-label.nii.gz,387
RibFrac364-label.nii.gz,349
RibFrac160-label.nii.gz,341
RibFrac335-label.nii.gz,417
RibFrac41-label.nii.gz,377
RibFrac130-label.nii.gz,361
RibFrac137-label.nii.gz,353
RibFrac256-label.nii.gz,439
RibFrac297-label.nii.gz,353
RibFrac296-label.nii.gz,341
RibFrac255-label.nii.gz,440
RibFrac301-label.nii.gz,407
RibFrac209-label.nii.gz,309
RibFrac125-label.nii.gz,403
RibFrac274-label.nii.gz,345
RibFrac80-label.nii.gz,402
RibFrac62-label.nii.gz,335
RibFrac333-label.nii.gz,404
RibFrac117-label.nii.gz,413
RibFrac228-label.nii.gz,321
RibFrac116-label.nii.gz,422
RibFrac165-label.nii.gz,433
RibFrac363-label.nii.gz,400
RibFrac81-label.nii.gz,385
RibFrac129-label.nii.gz,354
RibFrac42-label.nii.gz,416
RibFrac25-label.nii.gz,394
RibFrac305-label.nii.gz,353
RibFrac315-label.nii.gz,337
RibFrac251-label.nii.gz,353
RibFrac293-label.nii.gz,321
RibFrac175-label.nii.gz,437
RibFrac270-label.nii.gz,378
RibFrac39-label.nii.gz,313
RibFrac87-label.nii.gz,317
RibFrac22-label.nii.gz,442
RibFrac394-label.nii.gz,317
RibFrac222-label.nii.gz,387
RibFrac245-label.nii.gz,341
RibFrac157-label.nii.gz,337
RibFrac7-label.nii.gz,415
RibFrac110-label.nii.gz,398
RibFrac128-label.nii.gz,337
RibFrac269-label.nii.gz,321
RibFrac5-label.nii.gz,426
RibFrac126-label.nii.gz,407
RibFrac183-label.nii.gz,350
RibFrac415-label.nii.gz,389
RibFrac71-label.nii.gz,341
RibFrac219-label.nii.gz,333
RibFrac166-label.nii.gz,329
RibFrac213-label.nii.gz,381
RibFrac97-label.nii.gz,377
RibFrac362-label.nii.gz,457
RibFrac215-label.nii.gz,433
RibFrac353-label.nii.gz,397
RibFrac32-label.nii.gz,392
RibFrac393-label.nii.gz,313
RibFrac223-label.nii.gz,339
RibFrac226-label.nii.gz,365
RibFrac10-label.nii.gz,361
RibFrac403-label.nii.gz,317
RibFrac19-label.nii.gz,305
RibFrac359-label.nii.gz,428
RibFrac186-label.nii.gz,421
RibFrac107-label.nii.gz,381
RibFrac420-label.nii.gz,324
RibFrac37-label.nii.gz,309
RibFrac35-label.nii.gz,429
RibFrac419-label.nii.gz,349
RibFrac342-label.nii.gz,333
RibFrac292-label.nii.gz,373
RibFrac133-label.nii.gz,321
RibFrac55-label.nii.gz,375
RibFrac28-label.nii.gz,370
RibFrac118-label.nii.gz,422
RibFrac151-label.nii.gz,365
RibFrac142-label.nii.gz,373
RibFrac141-label.nii.gz,384
RibFrac391-label.nii.gz,357
RibFrac145-label.nii.gz,411
RibFrac204-label.nii.gz,420
RibFrac113-label.nii.gz,321
RibFrac104-label.nii.gz,333
RibFrac280-label.nii.gz,333
RibFrac132-label.nii.gz,387
RibFrac100-label.nii.gz,333
RibFrac197-label.nii.gz,372
RibFrac193-label.nii.gz,273
RibFrac318-label.nii.gz,353
RibFrac52-label.nii.gz,469
RibFrac162-label.nii.gz,345
RibFrac242-label.nii.gz,341
RibFrac284-label.nii.gz,297
RibFrac376-label.nii.gz,381
RibFrac176-label.nii.gz,349
RibFrac153-label.nii.gz,385
RibFrac123-label.nii.gz,425
RibFrac36-label.nii.gz,425
RibFrac344-label.nii.gz,341
RibFrac56-label.nii.gz,357
RibFrac295-label.nii.gz,363
RibFrac361-label.nii.gz,293
RibFrac396-label.nii.gz,341
RibFrac134-label.nii.gz,441
RibFrac259-label.nii.gz,414
RibFrac57-label.nii.gz,340
RibFrac321-label.nii.gz,403
RibFrac408-label.nii.gz,378
RibFrac373-label.nii.gz,293
RibFrac161-label.nii.gz,313
RibFrac152-label.nii.gz,389
RibFrac241-label.nii.gz,309
RibFrac103-label.nii.gz,357
RibFrac337-label.nii.gz,325
RibFrac334-label.nii.gz,337
RibFrac405-label.nii.gz,345
RibFrac178-label.nii.gz,345
RibFrac325-label.nii.gz,337
RibFrac217-label.nii.gz,437
RibFrac381-label.nii.gz,349
RibFrac114-label.nii.gz,321
RibFrac51-label.nii.gz,349
RibFrac312-label.nii.gz,444
RibFrac300-label.nii.gz,351
RibFrac260-label.nii.gz,325
RibFrac208-label.nii.gz,409
RibFrac370-label.nii.gz,313
RibFrac95-label.nii.gz,429
RibFrac411-label.nii.gz,345
RibFrac309-label.nii.gz,309
RibFrac206-label.nii.gz,349
RibFrac388-label.nii.gz,423
RibFrac53-label.nii.gz,337
RibFrac368-label.nii.gz,321
RibFrac184-label.nii.gz,309
RibFrac365-label.nii.gz,345
RibFrac200-label.nii.gz,357
RibFrac372-label.nii.gz,337
RibFrac240-label.nii.gz,454
RibFrac230-label.nii.gz,478
RibFrac72-label.nii.gz,333
RibFrac73-label.nii.gz,380
RibFrac397-label.nii.gz,390
RibFrac262-label.nii.gz,721
RibFrac343-label.nii.gz,380
RibFrac351-label.nii.gz,349
RibFrac84-label.nii.gz,423
RibFrac196-label.nii.gz,419
RibFrac124-label.nii.gz,422
RibFrac61-label.nii.gz,353
RibFrac231-label.nii.gz,325
RibFrac199-label.nii.gz,337
RibFrac345-label.nii.gz,341
RibFrac306-label.nii.gz,365
RibFrac154-label.nii.gz,420
RibFrac147-label.nii.gz,387
RibFrac386-label.nii.gz,357
RibFrac278-label.nii.gz,337
RibFrac402-label.nii.gz,341
RibFrac271-label.nii.gz,354
RibFrac174-label.nii.gz,325
RibFrac90-label.nii.gz,357
RibFrac294-label.nii.gz,399
RibFrac143-label.nii.gz,365
RibFrac249-label.nii.gz,477
RibFrac63-label.nii.gz,387
RibFrac236-label.nii.gz,363
RibFrac378-label.nii.gz,357
RibFrac78-label.nii.gz,354
RibFrac164-label.nii.gz,442
RibFrac58-label.nii.gz,345
RibFrac101-label.nii.gz,353
RibFrac131-label.nii.gz,393
RibFrac85-label.nii.gz,398
RibFrac410-label.nii.gz,418
RibFrac326-label.nii.gz,289
RibFrac2-label.nii.gz,309
RibFrac348-label.nii.gz,448
RibFrac93-label.nii.gz,363
RibFrac375-label.nii.gz,329
RibFrac409-label.nii.gz,353
RibFrac16-label.nii.gz,293
RibFrac4-label.nii.gz,301
RibFrac395-label.nii.gz,373
RibFrac67-label.nii.gz,425
RibFrac392-label.nii.gz,349
RibFrac79-label.nii.gz,398
RibFrac266-label.nii.gz,418
RibFrac355-label.nii.gz,409
RibFrac47-label.nii.gz,333
RibFrac102-label.nii.gz,417
RibFrac369-label.nii.gz,341
RibFrac304-label.nii.gz,399
RibFrac339-label.nii.gz,309
RibFrac379-label.nii.gz,433
RibFrac189-label.nii.gz,301
RibFrac179-label.nii.gz,361
RibFrac308-label.nii.gz,353
RibFrac279-label.nii.gz,411
RibFrac214-label.nii.gz,325
RibFrac45-label.nii.gz,337
RibFrac112-label.nii.gz,373
RibFrac198-label.nii.gz,475
RibFrac106-label.nii.gz,417
RibFrac86-label.nii.gz,285
RibFrac225-label.nii.gz,452
RibFrac99-label.nii.gz,341
RibFrac138-label.nii.gz,469
RibFrac258-label.nii.gz,367
RibFrac302-label.nii.gz,248
RibFrac366-label.nii.gz,433
RibFrac324-label.nii.gz,427
RibFrac234-label.nii.gz,305
RibFrac159-label.nii.gz,321
RibFrac380-label.nii.gz,423
RibFrac33-label.nii.gz,321
RibFrac163-label.nii.gz,348
RibFrac172-label.nii.gz,305
RibFrac168-label.nii.gz,305
RibFrac17-label.nii.gz,357
RibFrac98-label.nii.gz,337
RibFrac374-label.nii.gz,361
RibFrac20-label.nii.gz,353
RibFrac192-label.nii.gz,333
RibFrac317-label.nii.gz,423
RibFrac282-label.nii.gz,285
RibFrac77-label.nii.gz,317
RibFrac401-label.nii.gz,305
RibFrac1-label.nii.gz,333
RibFrac285-label.nii.gz,293
RibFrac227-label.nii.gz,403
RibFrac158-label.nii.gz,313
RibFrac346-label.nii.gz,345
RibFrac418-label.nii.gz,457
RibFrac268-label.nii.gz,333
RibFrac144-label.nii.gz,357
RibFrac275-label.nii.gz,293
RibFrac94-label.nii.gz,445
RibFrac264-label.nii.gz,366
RibFrac229-label.nii.gz,321
RibFrac40-label.nii.gz,325
RibFrac210-label.nii.gz,293
RibFrac70-label.nii.gz,349
RibFrac356-label.nii.gz,325
RibFrac400-label.nii.gz,301
RibFrac382-label.nii.gz,313
RibFrac261-label.nii.gz,301
RibFrac298-label.nii.gz,395
RibFrac404-label.nii.gz,457
RibFrac357-label.nii.gz,422
RibFrac60-label.nii.gz,313
RibFrac191-label.nii.gz,405
RibFrac340-label.nii.gz,380
RibFrac352-label.nii.gz,440
RibFrac108-label.nii.gz,337
RibFrac169-label.nii.gz,333
RibFrac336-label.nii.gz,301
RibFrac319-label.nii.gz,381
RibFrac48-label.nii.gz,387
RibFrac27-label.nii.gz,361
RibFrac146-label.nii.gz,401
RibFrac207-label.nii.gz,537
RibFrac74-label.nii.gz,406
RibFrac248-label.nii.gz,404
RibFrac329-label.nii.gz,425
RibFrac414-label.nii.gz,329
RibFrac15-label.nii.gz,393
RibFrac332-label.nii.gz,349
RibFrac155-label.nii.gz,392
RibFrac310-label.nii.gz,324
RibFrac187-label.nii.gz,436
RibFrac265-label.nii.gz,400
RibFrac203-label.nii.gz,432
RibFrac23-label.nii.gz,372
RibFrac252-label.nii.gz,392
RibFrac24-label.nii.gz,373
RibFrac136-label.nii.gz,325
RibFrac244-label.nii.gz,341
RibFrac303-label.nii.gz,353
RibFrac253-label.nii.gz,406
RibFrac54-label.nii.gz,349
RibFrac313-label.nii.gz,434
RibFrac254-label.nii.gz,353
RibFrac287-label.nii.gz,309
RibFrac367-label.nii.gz,464
RibFrac59-label.nii.gz,272
RibFrac331-label.nii.gz,289
RibFrac140-label.nii.gz,422
RibFrac311-label.nii.gz,381
RibFrac322-label.nii.gz,333
RibFrac314-label.nii.gz,441
RibFrac43-label.nii.gz,341
RibFrac38-label.nii.gz,329
RibFrac277-label.nii.gz,349
RibFrac385-label.nii.gz,421
RibFrac111-label.nii.gz,353
RibFrac6-label.nii.gz,333
RibFrac13-label.nii.gz,345
RibFrac34-label.nii.gz,357
RibFrac250-label.nii.gz,341
RibFrac171-label.nii.gz,396
RibFrac181-label.nii.gz,617
RibFrac416-label.nii.gz,384
RibFrac412-label.nii.gz,438
RibFrac88-label.nii.gz,373
RibFrac307-label.nii.gz,370
RibFrac109-label.nii.gz,409
RibFrac291-label.nii.gz,395
RibFrac387-label.nii.gz,389
RibFrac92-label.nii.gz,301
RibFrac316-label.nii.gz,368
RibFrac14-label.nii.gz,305
RibFrac272-label.nii.gz,362
RibFrac150-label.nii.gz,301
RibFrac338-label.nii.gz,349
RibFrac82-label.nii.gz,353
RibFrac320-label.nii.gz,402
RibFrac289-label.nii.gz,361
RibFrac89-label.nii.gz,375
RibFrac29-label.nii.gz,373
RibFrac173-label.nii.gz,365
RibFrac267-label.nii.gz,285
RibFrac167-label.nii.gz,325
RibFrac444-label.nii.gz,345
RibFrac488-label.nii.gz,325
RibFrac429-label.nii.gz,317
RibFrac446-label.nii.gz,261
RibFrac480-label.nii.gz,393
RibFrac426-label.nii.gz,468
RibFrac498-label.nii.gz,448
RibFrac453-label.nii.gz,271
RibFrac494-label.nii.gz,287
RibFrac496-label.nii.gz,357
RibFrac463-label.nii.gz,293
RibFrac473-label.nii.gz,349
RibFrac485-label.nii.gz,145
RibFrac499-label.nii.gz,408
RibFrac489-label.nii.gz,439
RibFrac443-label.nii.gz,418
RibFrac424-label.nii.gz,408
RibFrac430-label.nii.gz,357
RibFrac437-label.nii.gz,387
RibFrac422-label.nii.gz,321
RibFrac456-label.nii.gz,352
RibFrac449-label.nii.gz,439
RibFrac491-label.nii.gz,229
RibFrac487-label.nii.gz,93
RibFrac433-label.nii.gz,380
RibFrac435-label.nii.gz,211
RibFrac478-label.nii.gz,649
RibFrac471-label.nii.gz,126
RibFrac427-label.nii.gz,377
RibFrac484-label.nii.gz,381
RibFrac440-label.nii.gz,389
RibFrac462-label.nii.gz,74
RibFrac490-label.nii.gz,133
RibFrac465-label.nii.gz,281
RibFrac464-label.nii.gz,401
RibFrac470-label.nii.gz,306
RibFrac451-label.nii.gz,345
RibFrac479-label.nii.gz,337
RibFrac428-label.nii.gz,385
RibFrac475-label.nii.gz,217
RibFrac421-label.nii.gz,325
RibFrac442-label.nii.gz,233
RibFrac468-label.nii.gz,305
RibFrac447-label.nii.gz,411
RibFrac439-label.nii.gz,205
RibFrac432-label.nii.gz,293
RibFrac445-label.nii.gz,357
RibFrac461-label.nii.gz,138
RibFrac441-label.nii.gz,358
RibFrac476-label.nii.gz,387
RibFrac466-label.nii.gz,365
RibFrac457-label.nii.gz,396
RibFrac452-label.nii.gz,122
RibFrac450-label.nii.gz,359
RibFrac458-label.nii.gz,370
RibFrac459-label.nii.gz,333
RibFrac434-label.nii.gz,325
RibFrac477-label.nii.gz,329
RibFrac472-label.nii.gz,245
RibFrac500-label.nii.gz,477
RibFrac483-label.nii.gz,369
RibFrac486-label.nii.gz,422
RibFrac469-label.nii.gz,425
RibFrac492-label.nii.gz,453
RibFrac436-label.nii.gz,309
RibFrac493-label.nii.gz,361
RibFrac460-label.nii.gz,414
RibFrac467-label.nii.gz,458
RibFrac423-label.nii.gz,363
RibFrac455-label.nii.gz,423
RibFrac425-label.nii.gz,361
RibFrac482-label.nii.gz,389
RibFrac474-label.nii.gz,109
RibFrac431-label.nii.gz,369
RibFrac497-label.nii.gz,237
RibFrac448-label.nii.gz,155
RibFrac481-label.nii.gz,405
RibFrac454-label.nii.gz,233
RibFrac495-label.nii.gz,333
RibFrac438-label.nii.gz,397
